IDREGISTRO;TIPO;DATA;PESSOA/EMPRESA;PLANODECONTAS;VALOR  
984;Entrada;29/09/2023;Xandra Wynn;172;4121.22
985;Entrada;29/09/2023;Hayley Wynn;43;3350.37
986;Entrada;29/09/2023;Drew Shepard;135;3596.95
987;Entrada;29/09/2023;Daquan Wilkerson;57;33.8
988;Saida;29/09/2023;Jessamine Baldwin;124;4381.09
989;Entrada;29/09/2023;Vera Hancock;149;1027.63
990;Entrada;29/09/2023;Miriam Odom;182;1282.6
991;Entrada;29/09/2023;Fay Taylor;169;1810.57
992;Saida;29/09/2023;Briar Beach;170;4709.16
993;Entrada;29/09/2023;Kelly Sharp;3;3522.43
994;Entrada;29/09/2023;Fitzgerald Humphrey;62;382
995;Entrada;29/09/2023;Martin Gallegos;58;355.72
996;Entrada;29/09/2023;Russell Marsh;37;1295.48
997;Entrada;29/09/2023;Basil Powell;181;2693.22
998;Saida;29/09/2023;Dean Dickson;53;1862.93
999;Saida;29/09/2023;Lenore Mays;135;4146.25
1000;Entrada;29/09/2023;Hilda Burgess;97;2397.59
